ip,is_attack,attack_type,injected_events,failed_events,privileged_target_events
172.16.0.110,0,none,3,0,0
172.16.0.11,0,none,3,0,0
172.16.0.101,0,none,3,2,0
172.16.0.100,0,none,3,0,1
10.0.0.95,0,none,3,1,1
10.0.0.93,0,none,3,0,1
10.0.0.84,0,none,3,0,0
10.0.0.80,0,none,3,0,0
10.0.0.78,0,none,3,0,0
10.0.0.77,0,none,3,0,0
10.0.0.76,0,none,3,0,0
10.0.0.73,0,none,3,0,1
10.0.0.68,0,none,3,1,0
10.0.0.65,0,none,3,1,0
10.0.0.63,0,none,3,0,0
10.0.0.62,0,none,3,1,0
10.0.0.51,0,none,3,0,0
10.0.0.50,0,none,3,0,0
10.0.0.5,0,none,3,0,0
10.0.0.45,0,none,3,0,0
10.0.0.42,0,none,3,0,0
10.0.0.32,0,none,3,2,0
10.0.0.254,0,none,3,0,0
10.0.0.251,0,none,3,0,1
10.0.0.245,0,none,3,0,0
10.0.0.243,0,none,3,1,0
10.0.0.241,0,none,3,0,0
10.0.0.236,0,none,3,1,0
10.0.0.234,0,none,3,0,0
10.0.0.233,0,none,3,1,0
10.0.0.220,0,none,3,0,0
10.0.0.214,0,none,3,0,0
10.0.0.205,0,none,3,0,1
10.0.0.200,0,none,3,0,0
10.0.0.192,0,none,3,1,0
10.0.0.189,0,none,3,1,0
10.0.0.180,0,none,3,0,0
10.0.0.167,0,none,3,1,2
10.0.0.166,0,none,3,0,0
10.0.0.162,0,none,3,0,0
10.0.0.16,0,none,3,1,0
10.0.0.153,0,none,3,0,0
10.0.0.149,0,none,3,0,0
10.0.0.144,0,none,3,1,1
10.0.0.117,0,none,3,1,0
10.0.0.114,0,none,3,1,0
10.0.0.109,0,none,3,0,0
10.0.0.108,0,none,3,0,2
203.0.113.96,0,none,2,0,0
203.0.113.80,0,none,2,0,0
203.0.113.8,0,none,2,0,0
203.0.113.76,0,none,2,0,1
203.0.113.71,0,none,2,0,0
203.0.113.70,0,none,2,1,0
203.0.113.7,0,none,2,1,0
203.0.113.68,0,none,2,0,0
203.0.113.65,0,none,2,0,0
203.0.113.64,0,none,2,0,0
203.0.113.60,0,none,2,0,0
203.0.113.59,0,none,2,0,0
203.0.113.54,0,none,2,0,0
203.0.113.53,0,none,2,0,0
203.0.113.46,0,none,2,0,0
203.0.113.45,0,none,2,0,0
203.0.113.36,0,none,2,0,0
203.0.113.35,0,none,2,0,0
203.0.113.30,0,none,2,0,0
203.0.113.3,0,none,2,0,0
203.0.113.28,0,none,2,0,1
203.0.113.26,0,none,2,1,0
203.0.113.254,0,none,2,0,0
203.0.113.253,0,none,2,1,0
203.0.113.242,0,none,2,0,1
203.0.113.239,0,none,2,1,0
203.0.113.236,0,none,2,0,0
203.0.113.223,0,none,2,0,0
203.0.113.222,0,none,2,0,0
203.0.113.216,0,none,2,0,0
203.0.113.211,0,none,2,0,0
203.0.113.210,0,none,2,1,1
203.0.113.209,0,none,2,0,1
203.0.113.205,0,none,2,1,1
203.0.113.204,0,none,2,1,0
203.0.113.202,0,none,2,0,0
203.0.113.196,0,none,2,0,0
203.0.113.194,0,none,2,0,0
203.0.113.19,0,none,2,1,1
203.0.113.189,0,none,2,0,0
203.0.113.188,0,none,2,0,0
203.0.113.185,0,none,2,1,1
203.0.113.181,0,none,2,1,0
203.0.113.179,0,none,2,0,1
203.0.113.172,0,none,2,0,0
203.0.113.171,0,none,2,0,0
203.0.113.169,0,none,2,0,0
203.0.113.163,0,none,2,1,1
203.0.113.159,0,none,2,0,0
203.0.113.153,0,none,2,2,0
203.0.113.152,0,none,2,0,0
203.0.113.15,0,none,2,1,1
203.0.113.145,0,none,2,1,1
203.0.113.141,0,none,2,0,0
203.0.113.139,0,none,2,1,0
203.0.113.138,0,none,2,0,0
203.0.113.133,0,none,2,0,0
203.0.113.13,0,none,2,0,0
203.0.113.127,0,none,2,1,0
203.0.113.124,0,none,2,0,0
203.0.113.123,0,none,2,0,1
203.0.113.121,0,none,2,0,0
203.0.113.120,0,none,2,0,0
203.0.113.118,0,none,2,0,0
203.0.113.114,0,none,2,1,0
203.0.113.113,0,none,2,0,0
203.0.113.109,0,none,2,0,0
203.0.113.108,0,none,2,0,1
203.0.113.106,0,none,2,1,0
203.0.113.101,0,none,2,0,0
198.51.100.99,0,none,2,0,0
198.51.100.95,0,none,2,0,0
198.51.100.94,0,none,2,0,0
198.51.100.93,0,none,2,0,0
198.51.100.85,0,none,2,0,0
198.51.100.82,0,none,2,0,0
198.51.100.76,0,none,2,1,1
198.51.100.69,0,none,2,0,0
198.51.100.66,0,none,2,0,0
198.51.100.65,0,none,2,1,0
198.51.100.62,0,none,2,0,0
198.51.100.6,0,none,2,0,0
198.51.100.57,0,none,2,0,0
198.51.100.51,0,none,2,0,0
198.51.100.5,0,none,2,0,1
198.51.100.44,0,none,2,0,1
198.51.100.41,0,none,2,0,0
198.51.100.32,0,none,2,1,0
198.51.100.3,0,none,2,0,0
198.51.100.29,0,none,2,1,0
198.51.100.28,0,none,2,0,0
198.51.100.27,0,none,2,1,0
198.51.100.253,0,none,2,1,0
198.51.100.249,0,none,2,0,0
198.51.100.240,0,none,2,1,0
198.51.100.235,0,none,2,0,0
198.51.100.225,0,none,2,1,1
198.51.100.224,0,none,2,0,0
198.51.100.222,0,none,2,0,0
198.51.100.219,0,none,2,1,1
198.51.100.214,0,none,2,0,0
198.51.100.211,0,none,2,0,0
198.51.100.208,0,none,2,1,0
198.51.100.204,0,none,2,0,0
198.51.100.196,0,none,2,1,1
198.51.100.195,0,none,2,0,0
198.51.100.19,0,none,2,0,0
198.51.100.183,0,none,2,0,0
198.51.100.178,0,none,2,1,0
198.51.100.172,0,none,2,0,0
198.51.100.17,0,none,2,0,0
198.51.100.169,0,none,2,0,0
198.51.100.168,0,none,2,0,0
198.51.100.162,0,none,2,0,0
198.51.100.161,0,none,2,0,0
198.51.100.155,0,none,2,0,1
198.51.100.146,0,none,2,1,0
198.51.100.145,0,none,2,0,0
198.51.100.140,0,none,2,0,0
198.51.100.14,0,none,2,1,0
198.51.100.136,0,none,2,1,0
198.51.100.135,0,none,2,0,0
198.51.100.130,0,none,2,0,0
198.51.100.126,0,none,2,1,0
198.51.100.125,0,none,2,0,1
198.51.100.123,0,none,2,0,0
198.51.100.112,0,none,2,0,0
198.51.100.111,0,none,2,0,0
198.51.100.11,0,none,2,1,0
198.51.100.103,0,none,2,0,0
192.168.1.97,0,none,2,0,0
192.168.1.96,0,none,2,0,0
192.168.1.90,0,none,2,0,0
192.168.1.9,0,none,2,1,0
192.168.1.84,0,none,2,1,0
192.168.1.77,0,none,2,0,0
192.168.1.74,0,none,2,0,0
192.168.1.72,0,none,2,0,0
192.168.1.64,0,none,2,0,1
192.168.1.63,0,none,2,0,0
192.168.1.58,0,none,2,0,0
192.168.1.55,0,none,2,1,0
192.168.1.5,0,none,2,0,0
192.168.1.43,0,none,2,0,1
192.168.1.40,0,none,2,0,0
192.168.1.4,0,none,2,0,0
192.168.1.35,0,none,2,0,0
192.168.1.253,0,none,2,0,0
192.168.1.251,0,none,2,0,0
192.168.1.247,0,none,2,0,0
192.168.1.240,0,none,2,0,0
192.168.1.228,0,none,2,0,0
192.168.1.220,0,none,2,1,0
192.168.1.218,0,none,2,0,0
192.168.1.202,0,none,2,0,0
192.168.1.194,0,none,2,1,0
192.168.1.171,0,none,2,1,0
192.168.1.162,0,none,2,0,0
192.168.1.151,0,none,2,2,1
192.168.1.146,0,none,2,1,1
192.168.1.143,0,none,2,0,0
192.168.1.142,0,none,2,0,2
192.168.1.140,0,none,2,1,1
192.168.1.136,0,none,2,0,0
192.168.1.124,0,none,2,1,0
192.168.1.110,0,none,2,0,0
192.168.1.108,0,none,2,0,0
192.168.1.103,0,none,2,0,0
172.16.0.99,0,none,2,0,0
172.16.0.98,0,none,2,1,0
172.16.0.90,0,none,2,0,0
172.16.0.85,0,none,2,0,1
172.16.0.81,0,none,2,0,1
172.16.0.80,0,none,2,0,0
172.16.0.8,0,none,2,1,1
172.16.0.79,0,none,2,0,0
172.16.0.70,0,none,2,0,0
172.16.0.68,0,none,2,0,0
172.16.0.60,0,none,2,0,1
172.16.0.52,0,none,2,0,0
172.16.0.5,0,none,2,1,0
172.16.0.41,0,none,2,0,0
172.16.0.4,0,none,2,1,1
172.16.0.37,0,none,2,0,0
172.16.0.251,0,none,2,0,0
172.16.0.23,0,none,2,0,0
172.16.0.219,0,none,2,0,1
172.16.0.214,0,none,2,0,0
172.16.0.209,0,none,2,0,0
172.16.0.192,0,none,2,1,0
172.16.0.188,0,none,2,0,0
172.16.0.187,0,none,2,0,0
172.16.0.18,0,none,2,0,0
172.16.0.178,0,none,2,1,0
172.16.0.177,0,none,2,0,1
172.16.0.173,0,none,2,0,0
172.16.0.162,0,none,2,1,0
172.16.0.147,0,none,2,1,0
172.16.0.138,0,none,2,0,0
172.16.0.127,0,none,2,1,0
172.16.0.125,0,none,2,0,0
172.16.0.12,0,none,2,1,0
172.16.0.115,0,none,2,0,0
172.16.0.112,0,none,2,0,0
172.16.0.104,0,none,2,0,0
172.16.0.1,0,none,2,0,0
10.0.0.96,0,none,2,0,0
10.0.0.90,0,none,2,1,0
10.0.0.9,0,none,2,0,1
10.0.0.89,0,none,2,1,1
10.0.0.81,0,none,2,0,0
10.0.0.79,0,none,2,0,0
10.0.0.75,0,none,2,0,0
10.0.0.74,0,none,2,0,0
10.0.0.70,0,none,2,0,0
10.0.0.69,0,none,2,0,0
10.0.0.61,0,none,2,1,0
10.0.0.6,0,none,2,0,0
10.0.0.59,0,none,2,1,0
10.0.0.52,0,none,2,0,0
10.0.0.40,0,none,2,0,0
10.0.0.33,0,none,2,0,0
10.0.0.28,0,none,2,1,0
10.0.0.253,0,none,2,0,0
10.0.0.252,0,none,2,1,0
10.0.0.24,0,none,2,0,0
10.0.0.224,0,none,2,2,0
10.0.0.22,0,none,2,0,0
10.0.0.218,0,none,2,0,0
10.0.0.213,0,none,2,0,0
10.0.0.211,0,none,2,1,1
10.0.0.210,0,none,2,0,0
10.0.0.20,0,none,2,0,0
10.0.0.195,0,none,2,0,0
10.0.0.183,0,none,2,0,0
10.0.0.173,0,none,2,0,0
10.0.0.172,0,none,2,0,0
10.0.0.160,0,none,2,0,0
10.0.0.158,0,none,2,0,0
10.0.0.155,0,none,2,0,0
10.0.0.15,0,none,2,1,0
10.0.0.137,0,none,2,0,1
10.0.0.134,0,none,2,2,0
10.0.0.13,0,none,2,0,0
10.0.0.118,0,none,2,1,1
10.0.0.112,0,none,2,1,0
10.0.0.103,0,none,2,0,0
10.0.0.102,0,none,2,1,1
10.0.0.1,0,none,2,0,0
203.0.113.95,0,none,1,1,0
203.0.113.93,0,none,1,0,0
203.0.113.92,0,none,1,0,0
203.0.113.86,0,none,1,0,0
203.0.113.84,0,none,1,1,0
203.0.113.75,0,none,1,0,0
203.0.113.74,0,none,1,0,0
203.0.113.73,0,none,1,0,0
203.0.113.72,0,none,1,0,0
203.0.113.67,0,none,1,0,0
203.0.113.6,0,none,1,0,0
203.0.113.55,0,none,1,0,0
203.0.113.51,0,none,1,0,0
203.0.113.42,0,none,1,0,0
203.0.113.41,0,none,1,0,0
203.0.113.40,0,none,1,0,0
203.0.113.32,0,none,1,0,0
203.0.113.31,0,none,1,0,0
203.0.113.252,0,none,1,0,0
203.0.113.241,0,none,1,0,0
203.0.113.238,0,none,1,0,0
203.0.113.235,0,none,1,0,0
203.0.113.230,0,none,1,0,0
203.0.113.220,0,none,1,0,0
203.0.113.218,0,none,1,0,0
203.0.113.214,0,none,1,0,0
203.0.113.208,0,none,1,0,0
203.0.113.20,0,none,1,0,0
203.0.113.198,0,none,1,0,0
203.0.113.193,0,none,1,1,0
203.0.113.191,0,none,1,0,0
203.0.113.190,0,none,1,0,0
203.0.113.186,0,none,1,0,0
203.0.113.183,0,none,1,0,0
203.0.113.18,0,none,1,1,0
203.0.113.170,0,none,1,0,0
203.0.113.168,0,none,1,0,0
203.0.113.165,0,none,1,0,0
203.0.113.162,0,none,1,0,0
203.0.113.150,0,none,1,0,0
203.0.113.148,0,none,1,0,0
203.0.113.146,0,none,1,0,0
203.0.113.142,0,none,1,0,0
203.0.113.136,0,none,1,0,0
203.0.113.135,0,none,1,0,0
203.0.113.132,0,none,1,0,1
203.0.113.130,0,none,1,0,1
203.0.113.116,0,none,1,1,0
203.0.113.112,0,none,1,0,0
203.0.113.105,0,none,1,0,0
203.0.113.103,0,none,1,0,0
203.0.113.100,0,none,1,0,0
198.51.100.90,0,none,1,0,0
198.51.100.8,0,none,1,0,0
198.51.100.61,0,none,1,1,0
198.51.100.53,0,none,1,0,0
198.51.100.52,0,none,1,0,0
198.51.100.45,0,none,1,0,0
198.51.100.38,0,none,1,0,0
198.51.100.31,0,none,1,0,0
198.51.100.252,0,none,1,1,0
198.51.100.250,0,none,1,1,0
198.51.100.25,0,none,1,0,0
198.51.100.248,0,none,1,0,0
198.51.100.241,0,none,1,0,0
198.51.100.238,0,none,1,0,0
198.51.100.237,0,none,1,0,0
198.51.100.234,0,none,1,0,0
198.51.100.233,0,none,1,0,0
198.51.100.232,0,none,1,0,0
198.51.100.231,0,none,1,0,0
198.51.100.229,0,none,1,0,0
198.51.100.228,0,none,1,0,0
198.51.100.226,0,none,1,0,0
198.51.100.223,0,none,1,0,0
198.51.100.220,0,none,1,0,0
198.51.100.212,0,none,1,1,0
198.51.100.210,0,none,1,0,0
198.51.100.205,0,none,1,0,0
198.51.100.202,0,none,1,1,1
198.51.100.200,0,none,1,1,0
198.51.100.190,0,none,1,0,0
198.51.100.189,0,none,1,0,0
198.51.100.185,0,none,1,0,1
198.51.100.182,0,none,1,0,0
198.51.100.180,0,none,1,0,0
198.51.100.179,0,none,1,0,0
198.51.100.173,0,none,1,0,0
198.51.100.166,0,none,1,1,0
198.51.100.157,0,none,1,0,0
198.51.100.149,0,none,1,0,0
198.51.100.131,0,none,1,0,0
198.51.100.127,0,none,1,0,0
198.51.100.12,0,none,1,0,0
198.51.100.115,0,none,1,0,0
198.51.100.114,0,none,1,0,1
198.51.100.106,0,none,1,0,0
192.168.1.94,0,none,1,0,0
192.168.1.79,0,none,1,0,0
192.168.1.47,0,none,1,0,0
192.168.1.239,0,none,1,0,0
192.168.1.235,0,none,1,0,0
192.168.1.215,0,none,1,0,0
192.168.1.204,0,none,1,0,0
192.168.1.198,0,none,1,0,0
192.168.1.195,0,none,1,0,0
192.168.1.193,0,none,1,0,0
192.168.1.166,0,none,1,0,0
192.168.1.160,0,none,1,0,0
192.168.1.150,0,none,1,0,0
192.168.1.15,0,none,1,0,0
192.168.1.141,0,none,1,0,0
192.168.1.120,0,none,1,0,0
192.168.1.113,0,none,1,0,0
172.16.0.93,0,none,1,1,0
172.16.0.56,0,none,1,1,1
172.16.0.27,0,none,1,0,0
172.16.0.245,0,none,1,0,0
172.16.0.237,0,none,1,0,0
172.16.0.223,0,none,1,0,0
172.16.0.202,0,none,1,0,0
172.16.0.201,0,none,1,0,0
172.16.0.170,0,none,1,0,0
172.16.0.17,0,none,1,0,0
172.16.0.164,0,none,1,0,0
172.16.0.137,0,none,1,1,0
172.16.0.131,0,none,1,0,0
172.16.0.119,0,none,1,0,0
172.16.0.108,0,none,1,0,1
172.16.0.107,0,none,1,0,0
172.16.0.103,0,none,1,0,0
10.0.0.99,0,none,1,0,0
10.0.0.72,0,none,1,0,0
10.0.0.39,0,none,1,0,0
10.0.0.38,0,none,1,0,0
10.0.0.26,0,none,1,1,0
10.0.0.249,0,none,1,1,1
10.0.0.248,0,none,1,0,0
10.0.0.240,0,none,1,0,0
10.0.0.201,0,none,1,0,0
10.0.0.19,0,none,1,0,0
10.0.0.164,0,none,1,1,0
10.0.0.138,0,none,1,1,0
10.0.0.126,0,none,1,0,0
10.0.0.125,0,none,1,1,0
10.0.0.121,0,none,1,0,0
10.0.0.106,0,none,1,0,0
