ip,total_events,failed_logins,privileged_attempts,external_events,suspicious_events,risk_score,risk_level
203.0.113.46,2,0,0,2,0,2,low
203.0.113.53,2,0,0,2,0,2,low
203.0.113.54,2,0,0,2,0,2,low
203.0.113.59,2,0,0,2,0,2,low
203.0.113.60,2,0,0,2,0,2,low
203.0.113.64,2,0,0,2,0,2,low
203.0.113.65,2,0,0,2,0,2,low
203.0.113.68,2,0,0,2,0,2,low
203.0.113.71,2,0,0,2,0,2,low
203.0.113.8,2,0,0,2,0,2,low
203.0.113.80,2,0,0,2,0,2,low
203.0.113.96,2,0,0,2,0,2,low
10.0.0.100,7,1,0,0,0,1,low
10.0.0.105,7,1,0,0,0,1,low
10.0.0.112,2,1,0,0,0,1,low
10.0.0.113,6,1,0,0,0,1,low
10.0.0.114,3,1,0,0,0,1,low
10.0.0.117,3,1,0,0,0,1,low
10.0.0.125,1,1,0,0,0,1,low
10.0.0.128,7,1,0,0,0,1,low
10.0.0.132,7,1,0,0,0,1,low
10.0.0.138,1,1,0,0,0,1,low
10.0.0.145,5,1,0,0,0,1,low
10.0.0.152,5,1,0,0,0,1,low
10.0.0.16,3,1,0,0,0,1,low
10.0.0.163,4,1,0,0,0,1,low
10.0.0.164,1,1,0,0,0,1,low
10.0.0.168,5,1,0,0,0,1,low
10.0.0.175,7,1,0,0,0,1,low
10.0.0.18,4,1,0,0,0,1,low
10.0.0.189,3,1,0,0,0,1,low
10.0.0.192,3,1,0,0,0,1,low
10.0.0.198,7,1,0,0,0,1,low
10.0.0.204,4,1,0,0,0,1,low
10.0.0.227,4,1,0,0,0,1,low
10.0.0.228,8,1,0,0,0,1,low
10.0.0.233,3,1,0,0,0,1,low
10.0.0.235,4,1,0,0,0,1,low
10.0.0.236,3,1,0,0,0,1,low
10.0.0.237,5,1,0,0,0,1,low
10.0.0.243,3,1,0,0,0,1,low
10.0.0.252,2,1,0,0,0,1,low
10.0.0.26,1,1,0,0,0,1,low
10.0.0.28,2,1,0,0,0,1,low
10.0.0.41,4,1,0,0,0,1,low
10.0.0.48,4,1,0,0,0,1,low
10.0.0.53,4,1,0,0,0,1,low
10.0.0.54,5,1,0,0,0,1,low
10.0.0.58,5,1,0,0,0,1,low
10.0.0.59,2,1,0,0,0,1,low
10.0.0.60,6,1,0,0,0,1,low
10.0.0.61,2,1,0,0,0,1,low
10.0.0.62,3,1,0,0,0,1,low
10.0.0.65,3,1,0,0,0,1,low
10.0.0.67,7,1,0,0,0,1,low
10.0.0.68,3,1,0,0,0,1,low
10.0.0.7,7,1,0,0,0,1,low
10.0.0.71,6,1,0,0,0,1,low
10.0.0.90,2,1,0,0,0,1,low
172.16.0.10,7,1,0,0,0,1,low
172.16.0.105,7,1,0,0,0,1,low
172.16.0.12,2,1,0,0,0,1,low
172.16.0.120,3,1,0,0,0,1,low
172.16.0.127,2,1,0,0,0,1,low
172.16.0.13,5,1,0,0,0,1,low
172.16.0.132,5,1,0,0,0,1,low
172.16.0.133,5,1,0,0,0,1,low
172.16.0.137,1,1,0,0,0,1,low
172.16.0.147,2,1,0,0,0,1,low
172.16.0.148,3,1,0,0,0,1,low
172.16.0.150,5,1,0,0,0,1,low
172.16.0.158,6,1,0,0,0,1,low
172.16.0.162,2,1,0,0,0,1,low
172.16.0.169,6,1,0,0,0,1,low
172.16.0.172,5,1,0,0,0,1,low
172.16.0.176,4,1,0,0,0,1,low
172.16.0.178,2,1,0,0,0,1,low
172.16.0.191,3,1,0,0,0,1,low
172.16.0.192,2,1,0,0,0,1,low
172.16.0.200,4,1,0,0,0,1,low
172.16.0.230,4,1,0,0,0,1,low
172.16.0.231,6,1,0,0,0,1,low
172.16.0.234,3,1,0,0,0,1,low
172.16.0.238,3,1,0,0,0,1,low
172.16.0.242,6,1,0,0,0,1,low
172.16.0.247,6,1,0,0,0,1,low
172.16.0.25,7,1,0,0,0,1,low
172.16.0.250,5,1,0,0,0,1,low
172.16.0.28,8,1,0,0,0,1,low
172.16.0.29,3,1,0,0,0,1,low
172.16.0.31,4,1,0,0,0,1,low
172.16.0.33,5,1,0,0,0,1,low
172.16.0.43,8,1,0,0,0,1,low
172.16.0.5,2,1,0,0,0,1,low
172.16.0.53,5,1,0,0,0,1,low
172.16.0.67,5,1,0,0,0,1,low
172.16.0.69,3,1,0,0,0,1,low
172.16.0.7,5,1,0,0,0,1,low
172.16.0.71,7,1,0,0,0,1,low
172.16.0.73,3,1,0,0,0,1,low
172.16.0.91,3,1,0,0,0,1,low
172.16.0.93,1,1,0,0,0,1,low
172.16.0.96,8,1,0,0,0,1,low
192.168.1.1,6,1,0,0,0,1,low
192.168.1.106,4,1,0,0,0,1,low
192.168.1.115,7,1,0,0,0,1,low
192.168.1.116,3,1,0,0,0,1,low
192.168.1.118,9,1,0,0,0,1,low
192.168.1.12,9,1,0,0,0,1,low
192.168.1.13,6,1,0,0,0,1,low
192.168.1.135,4,1,0,0,0,1,low
192.168.1.137,4,1,0,0,0,1,low
192.168.1.148,8,1,0,0,0,1,low
192.168.1.149,5,1,0,0,0,1,low
192.168.1.171,2,1,0,0,0,1,low
192.168.1.176,4,1,0,0,0,1,low
192.168.1.186,3,1,0,0,0,1,low
192.168.1.194,2,1,0,0,0,1,low
192.168.1.196,3,1,0,0,0,1,low
192.168.1.20,8,1,0,0,0,1,low
192.168.1.205,4,1,0,0,0,1,low
192.168.1.21,4,1,0,0,0,1,low
192.168.1.213,3,1,0,0,0,1,low
192.168.1.217,5,1,0,0,0,1,low
192.168.1.22,5,1,0,0,0,1,low
192.168.1.220,2,1,0,0,0,1,low
192.168.1.221,6,1,0,0,0,1,low
192.168.1.222,3,1,0,0,0,1,low
192.168.1.223,3,1,0,0,0,1,low
192.168.1.227,3,1,0,0,0,1,low
192.168.1.229,8,1,0,0,0,1,low
192.168.1.23,4,1,0,0,0,1,low
192.168.1.234,8,1,0,0,0,1,low
192.168.1.246,6,1,0,0,0,1,low
192.168.1.254,6,1,0,0,0,1,low
192.168.1.30,5,1,0,0,0,1,low
192.168.1.34,6,1,0,0,0,1,low
192.168.1.44,4,1,0,0,0,1,low
192.168.1.45,3,1,0,0,0,1,low
192.168.1.46,5,1,0,0,0,1,low
192.168.1.50,3,1,0,0,0,1,low
192.168.1.52,3,1,0,0,0,1,low
192.168.1.53,5,1,0,0,0,1,low
192.168.1.54,3,1,0,0,0,1,low
192.168.1.55,2,1,0,0,0,1,low
192.168.1.57,7,1,0,0,0,1,low
192.168.1.68,4,1,0,0,0,1,low
192.168.1.69,4,1,0,0,0,1,low
192.168.1.7,7,1,0,0,0,1,low
192.168.1.82,3,1,0,0,0,1,low
192.168.1.84,2,1,0,0,0,1,low
192.168.1.85,5,1,0,0,0,1,low
192.168.1.88,3,1,0,0,0,1,low
192.168.1.9,2,1,0,0,0,1,low
192.168.1.92,7,1,0,0,0,1,low
192.168.1.95,6,1,0,0,0,1,low
198.51.100.106,1,0,0,1,0,1,low
198.51.100.115,1,0,0,1,0,1,low
198.51.100.12,1,0,0,1,0,1,low
198.51.100.127,1,0,0,1,0,1,low
198.51.100.131,1,0,0,1,0,1,low
198.51.100.149,1,0,0,1,0,1,low
198.51.100.157,1,0,0,1,0,1,low
198.51.100.173,1,0,0,1,0,1,low
198.51.100.179,1,0,0,1,0,1,low
198.51.100.180,1,0,0,1,0,1,low
198.51.100.182,1,0,0,1,0,1,low
198.51.100.189,1,0,0,1,0,1,low
198.51.100.190,1,0,0,1,0,1,low
198.51.100.200,1,0,0,1,0,1,low
198.51.100.205,1,0,0,1,0,1,low
198.51.100.210,1,0,0,1,0,1,low
198.51.100.220,1,0,0,1,0,1,low
198.51.100.223,1,0,0,1,0,1,low
198.51.100.226,1,0,0,1,0,1,low
198.51.100.228,1,0,0,1,0,1,low
198.51.100.229,1,0,0,1,0,1,low
198.51.100.231,1,0,0,1,0,1,low
198.51.100.232,1,0,0,1,0,1,low
198.51.100.233,1,0,0,1,0,1,low
198.51.100.234,1,0,0,1,0,1,low
198.51.100.237,1,0,0,1,0,1,low
198.51.100.238,1,0,0,1,0,1,low
198.51.100.241,1,0,0,1,0,1,low
198.51.100.248,1,0,0,1,0,1,low
198.51.100.25,1,0,0,1,0,1,low
198.51.100.31,1,0,0,1,0,1,low
198.51.100.38,1,0,0,1,0,1,low
198.51.100.45,1,0,0,1,0,1,low
198.51.100.52,1,0,0,1,0,1,low
198.51.100.53,1,0,0,1,0,1,low
198.51.100.8,1,0,0,1,0,1,low
198.51.100.90,1,0,0,1,0,1,low
203.0.113.100,1,0,0,1,0,1,low
203.0.113.103,1,0,0,1,0,1,low
203.0.113.105,1,0,0,1,0,1,low
203.0.113.112,1,0,0,1,0,1,low
203.0.113.135,1,0,0,1,0,1,low
203.0.113.136,1,0,0,1,0,1,low
203.0.113.142,1,0,0,1,0,1,low
203.0.113.146,1,0,0,1,0,1,low
203.0.113.148,1,0,0,1,0,1,low
203.0.113.150,1,0,0,1,0,1,low
203.0.113.162,1,0,0,1,0,1,low
203.0.113.165,1,0,0,1,0,1,low
203.0.113.168,1,0,0,1,0,1,low
203.0.113.170,1,0,0,1,0,1,low
203.0.113.183,1,0,0,1,0,1,low
203.0.113.186,1,0,0,1,0,1,low
203.0.113.190,1,0,0,1,0,1,low
203.0.113.191,1,0,0,1,0,1,low
203.0.113.198,1,0,0,1,0,1,low
203.0.113.20,1,0,0,1,0,1,low
203.0.113.208,1,0,0,1,0,1,low
203.0.113.214,1,0,0,1,0,1,low
203.0.113.218,1,0,0,1,0,1,low
203.0.113.220,1,0,0,1,0,1,low
203.0.113.230,1,0,0,1,0,1,low
203.0.113.235,1,0,0,1,0,1,low
203.0.113.238,1,0,0,1,0,1,low
203.0.113.241,1,0,0,1,0,1,low
203.0.113.252,1,0,0,1,0,1,low
203.0.113.31,1,0,0,1,0,1,low
203.0.113.32,1,0,0,1,0,1,low
203.0.113.40,1,0,0,1,0,1,low
203.0.113.41,1,0,0,1,0,1,low
203.0.113.42,1,0,0,1,0,1,low
203.0.113.51,1,0,0,1,0,1,low
203.0.113.55,1,0,0,1,0,1,low
203.0.113.6,1,0,0,1,0,1,low
203.0.113.67,1,0,0,1,0,1,low
203.0.113.72,1,0,0,1,0,1,low
203.0.113.73,1,0,0,1,0,1,low
203.0.113.74,1,0,0,1,0,1,low
203.0.113.75,1,0,0,1,0,1,low
203.0.113.86,1,0,0,1,0,1,low
203.0.113.92,1,0,0,1,0,1,low
203.0.113.93,1,0,0,1,0,1,low
10.0.0.1,2,0,0,0,0,0,none
10.0.0.10,6,0,0,0,0,0,none
10.0.0.103,2,0,0,0,0,0,none
10.0.0.104,6,0,0,0,0,0,none
10.0.0.106,1,0,0,0,0,0,none
10.0.0.109,3,0,0,0,0,0,none
10.0.0.110,4,0,0,0,0,0,none
10.0.0.111,4,0,0,0,0,0,none
10.0.0.115,6,0,0,0,0,0,none
10.0.0.116,7,0,0,0,0,0,none
10.0.0.119,7,0,0,0,0,0,none
10.0.0.121,1,0,0,0,0,0,none
10.0.0.126,1,0,0,0,0,0,none
10.0.0.13,2,0,0,0,0,0,none
10.0.0.131,5,0,0,0,0,0,none
10.0.0.134,2,0,0,0,0,0,none
10.0.0.135,4,0,0,0,0,0,none
10.0.0.139,8,0,0,0,0,0,none
10.0.0.140,4,0,0,0,0,0,none
10.0.0.142,6,0,0,0,0,0,none
10.0.0.149,3,0,0,0,0,0,none
10.0.0.15,2,0,0,0,0,0,none
10.0.0.153,3,0,0,0,0,0,none
10.0.0.154,6,0,0,0,0,0,none
10.0.0.155,2,0,0,0,0,0,none
10.0.0.158,2,0,0,0,0,0,none
10.0.0.160,2,0,0,0,0,0,none
10.0.0.161,4,0,0,0,0,0,none
10.0.0.162,3,0,0,0,0,0,none
10.0.0.166,3,0,0,0,0,0,none
10.0.0.172,2,0,0,0,0,0,none
10.0.0.173,2,0,0,0,0,0,none
10.0.0.174,5,0,0,0,0,0,none
10.0.0.176,4,0,0,0,0,0,none
10.0.0.178,6,0,0,0,0,0,none
10.0.0.180,3,0,0,0,0,0,none
10.0.0.181,4,0,0,0,0,0,none
10.0.0.183,2,0,0,0,0,0,none
10.0.0.185,6,0,0,0,0,0,none
10.0.0.186,4,0,0,0,0,0,none
10.0.0.188,4,0,0,0,0,0,none
10.0.0.19,1,0,0,0,0,0,none
10.0.0.190,5,0,0,0,0,0,none
10.0.0.191,5,0,0,0,0,0,none
10.0.0.195,2,0,0,0,0,0,none
10.0.0.196,5,0,0,0,0,0,none
10.0.0.197,5,0,0,0,0,0,none
10.0.0.20,2,0,0,0,0,0,none
10.0.0.200,3,0,0,0,0,0,none
10.0.0.201,1,0,0,0,0,0,none
10.0.0.209,5,0,0,0,0,0,none
10.0.0.21,6,0,0,0,0,0,none
10.0.0.210,2,0,0,0,0,0,none
10.0.0.212,8,0,0,0,0,0,none
10.0.0.213,2,0,0,0,0,0,none
10.0.0.214,3,0,0,0,0,0,none
10.0.0.215,4,0,0,0,0,0,none
10.0.0.217,5,0,0,0,0,0,none
10.0.0.218,2,0,0,0,0,0,none
10.0.0.219,4,0,0,0,0,0,none
10.0.0.22,2,0,0,0,0,0,none
10.0.0.220,3,0,0,0,0,0,none
10.0.0.223,5,0,0,0,0,0,none
10.0.0.225,5,0,0,0,0,0,none
10.0.0.232,4,0,0,0,0,0,none
10.0.0.234,3,0,0,0,0,0,none
10.0.0.238,5,0,0,0,0,0,none
10.0.0.24,2,0,0,0,0,0,none
10.0.0.240,1,0,0,0,0,0,none
10.0.0.241,3,0,0,0,0,0,none
10.0.0.242,4,0,0,0,0,0,none
10.0.0.245,3,0,0,0,0,0,none
10.0.0.248,1,0,0,0,0,0,none
10.0.0.25,6,0,0,0,0,0,none
10.0.0.250,6,0,0,0,0,0,none
10.0.0.253,2,0,0,0,0,0,none
10.0.0.254,3,0,0,0,0,0,none
10.0.0.29,6,0,0,0,0,0,none
10.0.0.33,2,0,0,0,0,0,none
10.0.0.37,6,0,0,0,0,0,none
10.0.0.38,1,0,0,0,0,0,none
10.0.0.39,1,0,0,0,0,0,none
10.0.0.40,2,0,0,0,0,0,none
10.0.0.42,3,0,0,0,0,0,none
10.0.0.44,6,0,0,0,0,0,none
10.0.0.45,3,0,0,0,0,0,none
10.0.0.46,9,0,0,0,0,0,none
10.0.0.5,3,0,0,0,0,0,none
10.0.0.50,3,0,0,0,0,0,none
10.0.0.51,3,0,0,0,0,0,none
10.0.0.52,2,0,0,0,0,0,none
10.0.0.57,8,0,0,0,0,0,none
10.0.0.6,2,0,0,0,0,0,none
10.0.0.63,3,0,0,0,0,0,none
10.0.0.64,4,0,0,0,0,0,none
10.0.0.66,5,0,0,0,0,0,none
10.0.0.69,2,0,0,0,0,0,none
10.0.0.70,2,0,0,0,0,0,none
10.0.0.72,1,0,0,0,0,0,none
10.0.0.74,2,0,0,0,0,0,none
10.0.0.75,2,0,0,0,0,0,none
10.0.0.76,3,0,0,0,0,0,none
10.0.0.77,3,0,0,0,0,0,none
10.0.0.78,3,0,0,0,0,0,none
10.0.0.79,2,0,0,0,0,0,none
10.0.0.8,6,0,0,0,0,0,none
10.0.0.80,3,0,0,0,0,0,none
10.0.0.81,2,0,0,0,0,0,none
10.0.0.83,6,0,0,0,0,0,none
10.0.0.84,3,0,0,0,0,0,none
10.0.0.87,4,0,0,0,0,0,none
10.0.0.91,4,0,0,0,0,0,none
10.0.0.92,9,0,0,0,0,0,none
10.0.0.94,4,0,0,0,0,0,none
10.0.0.96,2,0,0,0,0,0,none
10.0.0.97,4,0,0,0,0,0,none
10.0.0.99,1,0,0,0,0,0,none
172.16.0.1,2,0,0,0,0,0,none
172.16.0.102,4,0,0,0,0,0,none
172.16.0.103,1,0,0,0,0,0,none
172.16.0.104,2,0,0,0,0,0,none
172.16.0.107,1,0,0,0,0,0,none
172.16.0.109,4,0,0,0,0,0,none
172.16.0.11,3,0,0,0,0,0,none
172.16.0.110,3,0,0,0,0,0,none
172.16.0.111,5,0,0,0,0,0,none
172.16.0.112,2,0,0,0,0,0,none
172.16.0.113,5,0,0,0,0,0,none
172.16.0.115,2,0,0,0,0,0,none
172.16.0.116,4,0,0,0,0,0,none
172.16.0.119,1,0,0,0,0,0,none
172.16.0.121,3,0,0,0,0,0,none
172.16.0.123,3,0,0,0,0,0,none
172.16.0.125,2,0,0,0,0,0,none
172.16.0.129,9,0,0,0,0,0,none
172.16.0.130,6,0,0,0,0,0,none
172.16.0.131,1,0,0,0,0,0,none
172.16.0.134,3,0,0,0,0,0,none
172.16.0.136,7,0,0,0,0,0,none
172.16.0.138,2,0,0,0,0,0,none
172.16.0.139,4,0,0,0,0,0,none
172.16.0.140,4,0,0,0,0,0,none
172.16.0.141,3,0,0,0,0,0,none
172.16.0.144,3,0,0,0,0,0,none
172.16.0.146,3,0,0,0,0,0,none
172.16.0.15,5,0,0,0,0,0,none
172.16.0.152,6,0,0,0,0,0,none
172.16.0.153,3,0,0,0,0,0,none
172.16.0.156,5,0,0,0,0,0,none
172.16.0.159,3,0,0,0,0,0,none
172.16.0.16,6,0,0,0,0,0,none
172.16.0.160,3,0,0,0,0,0,none
172.16.0.163,5,0,0,0,0,0,none
172.16.0.164,1,0,0,0,0,0,none
172.16.0.168,5,0,0,0,0,0,none
172.16.0.17,1,0,0,0,0,0,none
172.16.0.170,1,0,0,0,0,0,none
172.16.0.171,4,0,0,0,0,0,none
172.16.0.173,2,0,0,0,0,0,none
172.16.0.174,5,0,0,0,0,0,none
172.16.0.18,2,0,0,0,0,0,none
172.16.0.183,5,0,0,0,0,0,none
172.16.0.185,4,0,0,0,0,0,none
172.16.0.187,2,0,0,0,0,0,none
172.16.0.188,2,0,0,0,0,0,none
172.16.0.190,4,0,0,0,0,0,none
172.16.0.193,3,0,0,0,0,0,none
172.16.0.195,3,0,0,0,0,0,none
172.16.0.196,4,0,0,0,0,0,none
172.16.0.2,5,0,0,0,0,0,none
172.16.0.20,5,0,0,0,0,0,none
172.16.0.201,1,0,0,0,0,0,none
172.16.0.202,1,0,0,0,0,0,none
172.16.0.203,4,0,0,0,0,0,none
172.16.0.204,3,0,0,0,0,0,none
172.16.0.208,8,0,0,0,0,0,none
172.16.0.209,2,0,0,0,0,0,none
172.16.0.210,4,0,0,0,0,0,none
172.16.0.212,4,0,0,0,0,0,none
172.16.0.214,2,0,0,0,0,0,none
172.16.0.218,3,0,0,0,0,0,none
172.16.0.22,6,0,0,0,0,0,none
172.16.0.220,6,0,0,0,0,0,none
172.16.0.221,3,0,0,0,0,0,none
172.16.0.223,1,0,0,0,0,0,none
172.16.0.225,9,0,0,0,0,0,none
172.16.0.226,8,0,0,0,0,0,none
172.16.0.227,9,0,0,0,0,0,none
172.16.0.229,3,0,0,0,0,0,none
172.16.0.23,2,0,0,0,0,0,none
172.16.0.233,3,0,0,0,0,0,none
172.16.0.235,3,0,0,0,0,0,none
172.16.0.236,3,0,0,0,0,0,none
172.16.0.237,1,0,0,0,0,0,none
172.16.0.24,4,0,0,0,0,0,none
172.16.0.241,5,0,0,0,0,0,none
172.16.0.243,4,0,0,0,0,0,none
172.16.0.245,1,0,0,0,0,0,none
172.16.0.251,2,0,0,0,0,0,none
172.16.0.253,3,0,0,0,0,0,none
172.16.0.254,5,0,0,0,0,0,none
172.16.0.26,8,0,0,0,0,0,none
172.16.0.27,1,0,0,0,0,0,none
172.16.0.30,4,0,0,0,0,0,none
172.16.0.34,3,0,0,0,0,0,none
172.16.0.37,2,0,0,0,0,0,none
172.16.0.40,4,0,0,0,0,0,none
172.16.0.41,2,0,0,0,0,0,none
172.16.0.42,5,0,0,0,0,0,none
172.16.0.45,3,0,0,0,0,0,none
172.16.0.46,4,0,0,0,0,0,none
172.16.0.47,4,0,0,0,0,0,none
172.16.0.48,4,0,0,0,0,0,none
172.16.0.49,3,0,0,0,0,0,none
172.16.0.50,5,0,0,0,0,0,none
172.16.0.51,4,0,0,0,0,0,none
172.16.0.52,2,0,0,0,0,0,none
172.16.0.55,8,0,0,0,0,0,none
172.16.0.6,5,0,0,0,0,0,none
172.16.0.61,5,0,0,0,0,0,none
172.16.0.66,3,0,0,0,0,0,none
172.16.0.68,2,0,0,0,0,0,none
172.16.0.70,2,0,0,0,0,0,none
172.16.0.76,3,0,0,0,0,0,none
172.16.0.77,4,0,0,0,0,0,none
172.16.0.79,2,0,0,0,0,0,none
172.16.0.80,2,0,0,0,0,0,none
172.16.0.87,3,0,0,0,0,0,none
172.16.0.88,5,0,0,0,0,0,none
172.16.0.90,2,0,0,0,0,0,none
172.16.0.92,5,0,0,0,0,0,none
172.16.0.97,3,0,0,0,0,0,none
172.16.0.98,2,0,0,0,0,0,none
172.16.0.99,2,0,0,0,0,0,none
192.168.1.100,6,0,0,0,0,0,none
192.168.1.103,2,0,0,0,0,0,none
192.168.1.105,3,0,0,0,0,0,none
192.168.1.107,6,0,0,0,0,0,none
192.168.1.108,2,0,0,0,0,0,none
192.168.1.109,3,0,0,0,0,0,none
192.168.1.11,5,0,0,0,0,0,none
192.168.1.110,2,0,0,0,0,0,none
192.168.1.112,4,0,0,0,0,0,none
192.168.1.113,1,0,0,0,0,0,none
192.168.1.117,5,0,0,0,0,0,none
192.168.1.119,3,0,0,0,0,0,none
192.168.1.120,1,0,0,0,0,0,none
192.168.1.121,3,0,0,0,0,0,none
192.168.1.124,2,0,0,0,0,0,none
192.168.1.125,6,0,0,0,0,0,none
192.168.1.126,6,0,0,0,0,0,none
192.168.1.127,5,0,0,0,0,0,none
192.168.1.132,8,0,0,0,0,0,none
192.168.1.136,2,0,0,0,0,0,none
192.168.1.138,6,0,0,0,0,0,none
192.168.1.139,5,0,0,0,0,0,none
192.168.1.14,3,0,0,0,0,0,none
192.168.1.141,1,0,0,0,0,0,none
192.168.1.143,2,0,0,0,0,0,none
192.168.1.144,3,0,0,0,0,0,none
192.168.1.145,6,0,0,0,0,0,none
192.168.1.15,1,0,0,0,0,0,none
192.168.1.150,1,0,0,0,0,0,none
192.168.1.157,7,0,0,0,0,0,none
192.168.1.160,1,0,0,0,0,0,none
192.168.1.162,2,0,0,0,0,0,none
192.168.1.164,3,0,0,0,0,0,none
192.168.1.165,7,0,0,0,0,0,none
192.168.1.166,1,0,0,0,0,0,none
192.168.1.167,5,0,0,0,0,0,none
192.168.1.174,5,0,0,0,0,0,none
192.168.1.177,3,0,0,0,0,0,none
192.168.1.178,5,0,0,0,0,0,none
192.168.1.18,4,0,0,0,0,0,none
192.168.1.182,3,0,0,0,0,0,none
192.168.1.183,4,0,0,0,0,0,none
192.168.1.184,8,0,0,0,0,0,none
192.168.1.189,5,0,0,0,0,0,none
192.168.1.19,5,0,0,0,0,0,none
192.168.1.190,6,0,0,0,0,0,none
192.168.1.193,1,0,0,0,0,0,none
192.168.1.195,1,0,0,0,0,0,none
192.168.1.197,4,0,0,0,0,0,none
192.168.1.198,1,0,0,0,0,0,none
192.168.1.199,3,0,0,0,0,0,none
192.168.1.2,5,0,0,0,0,0,none
192.168.1.201,4,0,0,0,0,0,none
192.168.1.202,2,0,0,0,0,0,none
192.168.1.204,1,0,0,0,0,0,none
192.168.1.208,4,0,0,0,0,0,none
192.168.1.210,5,0,0,0,0,0,none
192.168.1.214,4,0,0,0,0,0,none
192.168.1.215,1,0,0,0,0,0,none
192.168.1.216,3,0,0,0,0,0,none
192.168.1.218,2,0,0,0,0,0,none
192.168.1.224,4,0,0,0,0,0,none
192.168.1.228,2,0,0,0,0,0,none
192.168.1.230,4,0,0,0,0,0,none
192.168.1.231,7,0,0,0,0,0,none
192.168.1.232,3,0,0,0,0,0,none
192.168.1.235,1,0,0,0,0,0,none
192.168.1.238,5,0,0,0,0,0,none
192.168.1.239,1,0,0,0,0,0,none
192.168.1.240,2,0,0,0,0,0,none
192.168.1.242,3,0,0,0,0,0,none
192.168.1.245,5,0,0,0,0,0,none
192.168.1.247,2,0,0,0,0,0,none
192.168.1.248,3,0,0,0,0,0,none
192.168.1.249,4,0,0,0,0,0,none
192.168.1.25,3,0,0,0,0,0,none
192.168.1.251,2,0,0,0,0,0,none
192.168.1.252,4,0,0,0,0,0,none
192.168.1.253,2,0,0,0,0,0,none
192.168.1.26,7,0,0,0,0,0,none
192.168.1.27,5,0,0,0,0,0,none
192.168.1.29,3,0,0,0,0,0,none
192.168.1.31,4,0,0,0,0,0,none
192.168.1.35,2,0,0,0,0,0,none
192.168.1.38,3,0,0,0,0,0,none
192.168.1.4,2,0,0,0,0,0,none
192.168.1.40,2,0,0,0,0,0,none
192.168.1.41,4,0,0,0,0,0,none
192.168.1.47,1,0,0,0,0,0,none
192.168.1.49,5,0,0,0,0,0,none
192.168.1.5,2,0,0,0,0,0,none
192.168.1.56,5,0,0,0,0,0,none
192.168.1.58,2,0,0,0,0,0,none
192.168.1.59,4,0,0,0,0,0,none
192.168.1.63,2,0,0,0,0,0,none
192.168.1.67,4,0,0,0,0,0,none
192.168.1.72,2,0,0,0,0,0,none
192.168.1.73,6,0,0,0,0,0,none
192.168.1.74,2,0,0,0,0,0,none
192.168.1.77,2,0,0,0,0,0,none
192.168.1.78,6,0,0,0,0,0,none
192.168.1.79,1,0,0,0,0,0,none
192.168.1.8,6,0,0,0,0,0,none
192.168.1.86,6,0,0,0,0,0,none
192.168.1.87,3,0,0,0,0,0,none
192.168.1.89,5,0,0,0,0,0,none
192.168.1.90,2,0,0,0,0,0,none
192.168.1.93,6,0,0,0,0,0,none
192.168.1.94,1,0,0,0,0,0,none
192.168.1.96,2,0,0,0,0,0,none
192.168.1.97,2,0,0,0,0,0,none
192.168.1.98,3,0,0,0,0,0,none
192.168.1.99,3,0,0,0,0,0,none
